price_num,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,availability_365,host_listings_count,amenity_count,price_per_person
47.71,1.0,1.0,1.0,1.0,30.0,108,0.65,4.97,5.0,4.81,4.97,142,1.0,24,47.71
222.87,4.0,1.0,2.0,2.0,30.0,25,0.21,4.68,4.72,4.72,4.48,0,1.0,10,55.7175
222.87,4.0,1.0,2.0,2.0,30.0,18,0.11,4.78,4.76,4.88,4.82,0,1.0,22,55.7175
176.22,2.0,1.0,1.0,1.0,30.0,82,0.48,4.86,4.93,4.74,4.76,174,2.0,47,88.11
301.62,5.0,1.0,1.0,4.0,30.0,291,1.68,4.82,4.72,4.97,4.72,343,1.0,25,60.324
222.87,6.0,1.0,2.0,2.0,30.0,63,0.36,4.9,4.74,5.0,4.79,19,3.0,18,37.145
150.33,2.0,1.0,1.0,1.0,3.0,230,1.28,4.93,4.93,4.96,4.9,75,1.0,29,75.165
239.41,2.0,1.0,1.0,1.0,30.0,134,0.74,4.83,4.78,4.95,4.8,88,3.0,33,119.705
146.97,2.0,1.0,1.0,1.0,30.0,134,0.75,4.51,4.41,4.56,4.43,317,2.0,53,73.485
212.97,4.0,1.0,1.0,2.0,30.0,106,0.71,4.84,4.96,4.97,4.74,256,1.0,36,53.2425
102.965,2.0,1.0,1.0,1.0,30.0,70,0.39,4.41,4.47,4.04,4.45,0,3.0,11,51.4825
222.87,4.0,1.0,1.0,2.0,30.0,8,0.04,5.0,5.0,4.75,4.88,0,1.0,8,55.7175
149.69,8.0,1.0,2.0,5.0,30.0,115,0.64,4.58,4.49,4.87,4.43,296,2.0,57,18.71125
253.75,2.0,1.0,1.0,1.0,4.0,294,1.52,4.83,4.62,4.86,4.78,38,2.0,27,126.875
222.87,4.0,1.0,1.0,2.0,30.0,336,1.74,4.71,4.82,4.38,4.72,0,2.0,29,55.7175
255.53,2.0,1.0,1.0,1.0,30.0,162,0.94,4.8,4.82,4.91,4.7,363,2.0,30,127.765
222.87,4.0,1.0,2.0,2.0,30.0,49,0.32,4.73,4.41,4.96,4.47,22,1.0,13,55.7175
114.33,2.0,1.0,2.0,3.0,30.0,3,0.05,4.67,4.33,5.0,4.67,363,2.0,29,57.165
85.54,1.0,1.0,1.0,1.0,30.0,187,1.33,4.75,4.59,4.94,4.71,290,6.0,19,85.54
222.87,2.0,1.0,2.0,2.0,30.0,52,0.3,4.67,4.57,4.86,4.6,0,1.0,26,111.435
137.9,2.0,1.0,1.0,1.0,30.0,95,0.55,4.8,4.68,4.6,4.7,122,4.0,33,68.95
